,peakid,det_lat,det_lon,country,triggertime,triggertime_local,pytz,nighttime,signals,actives,felt_reports_green,felt_reports_yellow,felt_reports_red,notification_time,notification_delay_from_detection,intensity_strong,cat,num_eq_matches,origintime,magtype,magnitude,eq_lat,eq_lon,depth,separation,triggerdelay,P_at_surface_delay,offshore,dist_shore,closest_land_lat,closest_land_lon,P_at_coast_delay,P_on_land_surface_delay,triggerdelay_wrt_P,triggerdelay_wrt_S,causal_phase
969,8165657,-29.942,-71.277,chl,2019-03-07 15:34:56.000000000,2019-03-07 12:34:56-03:00,America/Santiago,False,12,69,133,40,1,2019-03-07 15:35:18.000000,22.0,0,USGS,1,2019-03-07 15:34:28.289999962,mww,5.7,-29.465,-72.694,17.0,147.0,27.7,2.9,True,120.5,-29.2,-71.491,20.3,20.3,4.0,-13.2,P
981,9710137,-16.405,-71.545,per,2019-03-01 08:51:35.000000000,2019-03-01 03:51:35-05:00,America/Lima,True,18,169,88,129,43,,,,USGS,2,2019-03-01 08:50:42.591000080,mww,7.0,-14.713,-70.155,267.0,239.3,52.4,34.1,False,,,,,34.1,7.2,-28.6,P
987,2018763,-29.957,-71.303,chl,2019-02-25 15:28:55.000000000,2019-02-25 12:28:55-03:00,America/Santiago,False,13,84,67,40,2,2019-02-25 15:29:18.000000,23.0,0,USGS,1,2019-02-25 15:28:42.089999914,mww,5.3,-29.775,-71.813,10.0,53.2,12.9,1.7,True,45.8,-29.747,-71.34,8.1,8.1,3.6,-2.7,P
992,3642050,-1.672,-78.649,ecu,2019-02-22 10:18:01.000000000,2019-02-22 05:18:01-05:00,America/Guayaquil,True,8,24,201,244,72,,,,USGS,2,2019-02-22 10:17:23.769999981,mww,7.5,-2.186,-77.05,145.0,186.6,37.2,19.4,False,,,,,19.4,6.1,-17.7,P
1021,7723617,16.219,-95.206,mex,2019-02-01 16:15:35.000000000,2019-02-01 10:15:35-06:00,America/Mexico_City,False,13,82,224,129,28,,,,USGS,1,2019-02-01 16:14:12.328999996,mww,6.7,14.68,-92.453,66.0,341.0,82.7,9.6,True,5.6,14.716,-92.416,9.6,9.6,36.6,1.1,S
1026,1214666,-27.076,-70.819,chl,2019-01-30 07:45:10.000000000,2019-01-30 04:45:10-03:00,America/Santiago,True,9,17,30,43,4,2019-01-30 07:45:56.000000,46.0,0,USGS,1,2019-01-30 07:44:45.249999762,mww,5.6,-25.898,-70.668,51.0,131.3,24.8,7.7,False,,,,,7.7,4.6,-10.4,P
1027,2666488,16.839,-95.038,mex,2019-01-30 01:46:44.000000000,2019-01-29 19:46:44-06:00,America/Mexico_City,False,11,34,141,14,3,,,,USGS,1,2019-01-30 01:46:11.550000191,mww,5.4,17.456,-93.966,171.68,133.0,32.4,22.7,False,,,,,22.7,4.0,-17.9,P
1030,7627731,3.423,-76.525,col,2019-01-28 21:07:39.000000000,2019-01-28 16:07:39-05:00,America/Bogota,False,8,25,254,97,8,,,,USGS,1,2019-01-28 21:07:09.960000038,mww,5.5,3.084,-75.646,13.06,104.6,29.0,2.3,False,,,,,2.3,10.9,-1.4,P
1040,3265969,-14.065,-75.73,per,2019-01-25 04:45:38.000000000,2019-01-24 23:45:38-05:00,America/Lima,True,8,25,297,37,6,,,,USGS,1,2019-01-25 04:45:22.230000019,mww,5.7,-14.533,-75.352,60.5,66.0,15.8,8.9,False,,,,,8.9,2.8,-6.7,P
1042,7574508,-29.955,-71.29,chl,2019-01-24 10:28:40.000000000,2019-01-24 07:28:40-03:00,America/Santiago,False,26,376,103,70,5,2019-01-24 10:29:04.000000,24.0,0,USGS,1,2019-01-24 10:28:28.420000076,mb,5.1,-30.119,-71.375,58.3,19.9,11.6,8.7,False,,,,,8.7,2.5,-4.1,P
1057,3524308,61.164,-149.843,usa,2019-01-13 16:46:05.000000000,2019-01-13 07:46:05-09:00,America/Anchorage,False,10,45,16,19,2,2019-01-13 16:47:12.000000,67.0,0,USGS,1,2019-01-13 16:45:55.437000036,ml,5.0,61.299,-150.065,44.8,19.2,9.6,7.0,False,,,,,7.0,2.0,-3.3,P
1069,5152071,-32.852,-68.836,arg,2018-12-31 10:50:27.000000000,2018-12-31 07:50:27-03:00,America/Argentina/Mendoza,False,16,130,644,95,9,,,,USGS,1,2018-12-31 10:49:41.249999762,mww,5.3,-31.776,-69.234,99.39,125.1,45.8,13.8,False,,,,,13.8,24.0,7.6,S
1073,8909514,61.172,-149.85,usa,2018-12-27 14:21:23.000000000,2018-12-27 05:21:23-09:00,America/Anchorage,True,11,57,14,9,0,2018-12-27 14:21:57.000000,34.0,0,USGS,1,2018-12-27 14:21:13.088999987,mw,4.8,61.286,-150.068,41.0,17.3,9.9,6.5,False,,,,,6.5,2.9,-2.0,P
1074,6816456,10.476,-66.875,ven,2018-12-27 08:59:40.000000000,2018-12-27 04:59:40-04:00,America/Caracas,True,11,56,18,11,3,,,,USGS,1,2018-12-27 08:59:11.240000010,mww,5.4,10.264,-67.904,8.0,115.0,28.8,1.4,False,,,,,1.4,8.9,-4.5,P
1075,9678656,37.634,15.125,ita,2018-12-26 02:19:20.000000000,2018-12-26 03:19:20+01:00,Europe/Rome,True,20,218,52,78,5,2018-12-26 02:20:14.000000,54.0,0,USGS,1,2018-12-26 02:19:14.000000000,mwr,5.0,37.63,15.1,1.0,2.3,6.0,0.2,False,,,,,0.2,5.6,5.3,P
1086,5026083,61.189,-149.811,usa,2018-12-09 19:00:44.000000000,2018-12-09 10:00:44-09:00,America/Anchorage,False,8,25,29,13,2,2018-12-09 19:01:13.000000,29.0,0,USGS,1,2018-12-09 19:00:32.365000010,mw,4.7,61.42,-149.837,41.2,25.8,11.6,6.5,False,,,,,6.5,4.0,-1.4,P
1095,8974786,-33.045,-71.501,chl,2018-12-05 17:12:30.000000000,2018-12-05 14:12:30-03:00,America/Santiago,False,19,153,603,824,131,2018-12-05 17:12:39.000000,9.0,1,USGS,1,2018-12-05 17:12:13.700000048,mww,5.0,-33.658,-71.632,34.75,69.0,16.3,5.7,False,,,,,5.7,4.0,-4.7,P
1096,7407570,61.195,-149.796,usa,2018-12-05 12:48:55.000000000,2018-12-05 03:48:55-09:00,America/Anchorage,True,14,75,14,3,0,2018-12-05 12:50:32.000000,97.0,0,USGS,1,2018-12-05 12:48:44.227999926,ml,4.5,61.323,-150.053,41.8,19.9,10.8,6.6,False,,,,,6.6,3.5,-1.6,P
1100,1715028,61.195,-149.794,usa,2018-12-01 12:45:05.000000000,2018-12-01 03:45:05-09:00,America/Anchorage,True,13,49,0,0,0,,,0,USGS,1,2018-12-01 12:44:53.695000172,mw,4.5,61.473,-149.898,34.4,31.5,11.3,5.7,False,,,,,5.7,3.6,-1.6,P
1102,1890413,61.166,-149.881,usa,2018-12-01 07:57:35.000000000,2018-11-30 22:57:35-09:00,America/Anchorage,False,8,12,7,2,0,2018-12-01 07:58:29.000000,54.0,0,USGS,2,2018-12-01 07:57:22.618999958,mw,5.1,61.355,-149.991,42.9,21.9,12.4,6.7,False,,,,,6.7,4.8,-0.4,P
1103,6632074,61.147,-149.909,usa,2018-12-01 07:07:51.000000000,2018-11-30 22:07:51-09:00,America/Anchorage,False,8,12,8,0,0,2018-12-01 07:08:36.000000,45.0,0,USGS,3,2018-12-01 07:07:37.990000010,ml,5.0,61.483,-149.936,51.3,37.5,13.0,7.8,False,,,,,7.8,3.4,-3.4,P
1113,5256656,-9.131,-78.528,per,2018-11-20 06:38:25.000000000,2018-11-20 01:38:25-05:00,America/Lima,True,8,18,128,27,1,,,,USGS,1,2018-11-20 06:38:06.929999828,mww,5.4,-9.848,-78.575,57.44,79.5,18.1,8.5,True,31.8,-9.681,-78.339,9.7,9.7,3.8,-6.6,P
1120,2899134,-8.683,115.193,idn,2018-11-14 17:23:50.000000000,2018-11-15 01:23:50+08:00,Asia/Makassar,True,9,35,12,5,1,,,,USGS,1,2018-11-14 17:23:31.720000029,mb,5.0,-9.039,115.462,68.09,49.3,18.3,9.9,True,28.3,-8.802,115.56,10.7,10.7,6.2,-2.7,P
1126,8502515,-29.97,-71.295,chl,2018-11-09 18:54:31.000000000,2018-11-09 15:54:31-03:00,America/Santiago,False,12,60,75,10,1,2018-11-09 18:55:09.000000,38.0,0,USGS,1,2018-11-09 18:54:10.169999838,mww,5.2,-30.628,-71.711,25.76,83.2,20.8,4.3,False,,,,,4.3,6.4,-3.4,P
1147,5674503,-2.099,-79.905,ecu,2018-10-21 21:09:08.000000000,2018-10-21 16:09:08-05:00,America/Guayaquil,False,27,379,470,176,14,,,,USGS,1,2018-10-21 21:08:56.039999962,mww,5.1,-1.854,-79.874,68.88,27.3,12.0,10.0,False,,,,,10.0,1.3,-6.5,P
1155,9281640,-8.687,115.203,idn,2018-10-10 18:45:52.000000000,2018-10-11 02:45:52+08:00,Asia/Makassar,True,10,38,15,4,1,,,,USGS,1,2018-10-10 18:44:55.279999971,mww,6.0,-7.452,114.455,9.0,159.5,56.7,1.6,True,30.6,-7.182,114.397,5.5,5.5,30.6,11.6,S
1163,1326269,16.47,-95.036,mex,2018-10-01 21:43:28.000000000,2018-10-01 16:43:28-05:00,America/Mexico_City,False,14,91,270,86,8,,,,USGS,1,2018-10-01 21:43:03.070000172,mww,5.3,16.766,-94.01,119.8,114.4,24.9,16.3,False,,,,,16.3,2.7,-14.2,P
1172,4313872,-23.624,-70.392,chl,2018-09-23 05:32:31.000000000,2018-09-23 02:32:31-03:00,America/Santiago,True,17,142,76,37,4,2018-09-23 05:33:16.000000,45.0,0,USGS,1,2018-09-23 05:32:11.460000038,mww,5.3,-24.351,-70.041,61.2,88.0,19.5,9.0,False,,,,,9.0,4.1,-7.2,P
1173,1325372,-27.378,-70.318,chl,2018-09-22 13:14:31.000000000,2018-09-22 10:14:31-03:00,America/Santiago,False,10,38,44,22,0,2018-09-22 13:15:14.000000,43.0,0,USGS,1,2018-09-22 13:13:59.240000010,mww,5.4,-25.9,-70.938,28.41,175.1,31.8,4.7,True,22.7,-25.816,-70.731,6.1,6.1,5.7,-13.7,P
1176,3661625,-20.24,-70.131,chl,2018-09-19 18:42:40.000000000,2018-09-19 15:42:40-03:00,America/Santiago,False,14,87,115,35,2,2018-09-19 18:43:11.000000,31.0,0,USGS,1,2018-09-19 18:42:21.449999809,mww,5.0,-19.54,-70.389,62.58,82.0,18.6,9.2,True,20.0,-19.504,-70.203,9.6,9.6,3.7,-7.2,P
1187,3564183,-16.395,-71.537,per,2018-09-14 11:20:28.000000000,2018-09-14 06:20:28-05:00,America/Lima,True,17,142,104,6,1,,,,USGS,1,2018-09-14 11:20:03.310000181,mww,5.4,-15.994,-71.437,129.55,45.6,24.7,17.5,False,,,,,17.5,6.2,-7.8,P
1190,6549030,12.127,-86.28,nic,2018-09-12 06:30:13.000000000,2018-09-12 00:30:13-06:00,America/Managua,True,11,55,19,8,2,,,,USGS,1,2018-09-12 06:29:53.150000095,mww,5.4,12.193,-86.784,103.0,55.3,19.8,14.2,False,,,,,14.2,3.8,-8.2,P
1192,5503262,-8.598,116.111,idn,2018-09-10 20:22:54.000000000,2018-09-11 04:22:54+08:00,Asia/Makassar,True,8,26,0,0,0,,,,USGS,1,2018-09-10 20:22:24.279999971,mww,5.0,-8.19,116.512,10.0,63.1,29.7,1.7,True,5.2,-8.235,116.497,1.9,1.9,18.7,11.3,S
1193,9195292,-28.479,-71.175,chl,2018-09-10 08:24:30.000000000,2018-09-10 05:24:30-03:00,America/Santiago,True,8,9,103,11,0,2018-09-10 08:25:14.000000,44.0,0,USGS,1,2018-09-10 08:24:15.180000067,mww,5.3,-28.739,-71.696,35.0,58.5,14.8,5.8,True,23.8,-28.87,-71.502,6.9,6.9,3.8,-3.9,P
1195,7227256,-2.113,-79.591,ecu,2018-09-07 02:12:24.000000000,2018-09-06 21:12:24-05:00,America/Guayaquil,False,9,24,222,288,55,,,,USGS,1,2018-09-07 02:12:06.279999971,mww,6.2,-2.253,-78.79,110.5,90.4,17.7,15.1,False,,,,,15.1,-1.7,-16.3,P
1199,8394165,-33.497,-70.661,chl,2018-09-05 20:17:06.000000000,2018-09-05 17:17:06-03:00,America/Santiago,False,46,949,1161,247,22,2018-09-05 20:17:31.000000,25.0,0,USGS,1,2018-09-05 20:16:41.390000105,mwr,5.1,-34.44,-70.514,113.14,105.5,24.6,15.5,False,,,,,15.5,3.7,-12.1,P
1207,5252395,-32.803,-70.657,chl,2018-08-31 13:25:24.000000000,2018-08-31 10:25:24-03:00,America/Santiago,False,10,31,886,100,10,2018-08-31 13:25:56.000000,32.0,0,USGS,1,2018-08-31 13:25:01.350000143,mww,5.0,-32.206,-70.479,96.26,68.3,22.6,13.4,False,,,,,13.4,6.4,-5.8,P
1213,2787416,-29.932,-71.265,chl,2018-08-28 04:51:51.000000000,2018-08-28 01:51:51-03:00,America/Santiago,True,26,370,93,100,16,2018-08-28 04:52:21.000000,30.0,1,USGS,1,2018-08-28 04:51:40.319999933,mww,5.2,-29.684,-71.364,35.03,29.1,10.7,5.8,False,,,,,5.8,3.2,-1.9,P
1214,4296707,-29.933,-71.273,chl,2018-08-27 09:16:15.000000000,2018-08-27 06:16:15-03:00,America/Santiago,True,23,258,62,65,3,2018-08-27 09:16:35.000000,20.0,1,USGS,1,2018-08-27 09:16:04.740000010,mwr,5.0,-29.718,-71.545,54.77,35.5,10.3,8.2,True,19.9,-29.722,-71.34,8.7,8.7,0.5,-6.5,P
1220,4197187,-18.465,-70.295,chl,2018-08-23 09:44:58.000000000,2018-08-23 06:44:58-03:00,America/Santiago,True,19,175,53,4,0,2018-08-23 09:45:40.000000,42.0,0,USGS,1,2018-08-23 09:44:02.940000057,mwr,5.0,-17.229,-69.508,157.8,160.2,55.1,21.0,False,,,,,21.0,25.5,2.9,S
1221,3563222,-8.722,115.192,idn,2018-08-22 22:49:02.000000000,2018-08-23 06:49:02+08:00,Asia/Makassar,True,11,48,36,7,2,,,,USGS,1,2018-08-22 22:48:42.609999895,mb,5.1,-9.083,114.822,70.95,57.0,19.4,10.2,True,40.4,-8.847,115.103,11.7,11.7,6.4,-3.2,P
1231,2199097,41.994,14.892,ita,2018-08-16 20:22:44.000000000,2018-08-16 22:22:44+02:00,Europe/Rome,False,9,24,315,36,6,2018-08-16 20:23:13.000000,29.0,0,USGS,1,2018-08-16 20:22:34.079999924,mb,4.5,41.837,14.78,3.24,19.7,9.9,0.6,False,,,,,0.6,6.5,4.1,S
1232,9565511,41.987,14.924,ita,2018-08-16 18:19:13.000000000,2018-08-16 20:19:13+02:00,Europe/Rome,False,8,18,562,155,13,2018-08-16 18:20:14.000000,61.0,0,USGS,1,2018-08-16 18:19:05.400000095,mww,5.3,41.875,14.808,11.59,15.7,7.6,2.0,False,,,,,2.0,4.2,2.0,P
1245,2681264,-20.248,-70.127,chl,2018-08-04 01:02:47.000000000,2018-08-03 21:02:47-04:00,America/Santiago,False,14,92,115,36,3,2018-08-04 01:03:22.000000,35.0,0,USGS,1,2018-08-04 01:02:24.440000057,mwr,5.2,-19.619,-69.358,84.49,106.5,22.6,11.9,False,,,,,11.9,3.7,-10.3,P
1253,8596323,16.5,-95.058,mex,2018-07-22 12:40:08.000000000,2018-07-22 07:40:08-05:00,America/Mexico_City,False,19,164,47,4,1,,,,USGS,1,2018-07-22 12:39:41.059999943,mww,5.1,17.536,-94.537,141.78,127.4,26.9,19.0,False,,,,,19.0,1.6,-17.6,P
1254,6743146,-22.458,-68.929,chl,2018-07-21 14:39:25.000000000,2018-07-21 10:39:25-04:00,America/Santiago,False,8,23,30,8,0,2018-07-21 14:40:11.000000,46.0,0,USGS,1,2018-07-21 14:39:03.579999924,mww,5.1,-22.279,-68.502,104.25,48.3,21.4,14.4,False,,,,,14.4,5.6,-6.2,P
1293,6843668,-12.306,-76.86,per,2018-05-17 11:07:28.000000000,2018-05-17 06:07:28-05:00,America/Lima,True,8,16,190,144,13,,,,USGS,1,2018-05-17 11:07:14.180000067,mb,5.2,-12.668,-76.566,56.47,51.3,13.8,8.4,False,,,,,8.4,2.6,-5.6,P
1322,5732380,16.189,-95.199,mex,2018-04-11 07:30:53.000000000,2018-04-11 02:30:53-05:00,America/Mexico_City,True,25,443,110,31,3,,,,USGS,1,2018-04-11 07:30:38.310000181,mww,5.5,15.682,-95.012,25.6,59.5,14.7,4.3,True,52.8,16.008,-95.372,9.8,9.8,3.9,-3.5,P
1324,9295855,-29.962,-71.299,chl,2018-04-10 10:19:56.000000000,2018-04-10 07:19:56-03:00,America/Santiago,False,14,126,103,176,58,2018-04-10 10:20:44.000000,48.0,1,USGS,1,2018-04-10 10:19:34.369999886,mww,6.2,-31.026,-71.529,66.0,119.9,21.6,9.6,False,,,,,9.6,2.3,-12.0,P
1325,1502120,43.186,13.102,ita,2018-04-10 03:11:37.000000000,2018-04-10 05:11:37+02:00,Europe/Rome,True,12,83,238,86,9,2018-04-10 03:12:21.000000,44.0,0,USGS,1,2018-04-10 03:11:31.889999866,mwr,4.7,43.066,13.052,10.0,14.0,5.1,1.7,False,,,,,1.7,2.2,0.1,P
1329,5840651,-20.253,-70.125,chl,2018-04-05 11:12:25.000000000,2018-04-05 08:12:25-03:00,America/Santiago,False,13,81,62,50,9,2018-04-05 11:13:08.000000,43.0,1,USGS,1,2018-04-05 11:12:10.599999905,mww,5.5,-20.381,-70.586,44.0,50.1,14.4,6.9,True,43.4,-20.423,-70.172,9.6,9.6,4.1,-3.2,P
1351,7158350,-33.445,-70.655,chl,2018-03-19 12:51:49.000000000,2018-03-19 09:51:49-03:00,America/Santiago,False,34,861,463,22,6,2018-03-19 12:52:13.000000,24.0,0,USGS,1,2018-03-19 12:51:17.119999886,mww,5.0,-32.378,-69.439,113.06,164.1,31.9,15.5,False,,,,,15.5,5.2,-15.1,P
1359,2540668,-20.242,-70.128,chl,2018-03-04 16:17:04.000000000,2018-03-04 13:17:04-03:00,America/Santiago,False,12,78,33,4,1,2018-03-04 16:17:44.000000,40.0,0,USGS,1,2018-03-04 16:16:31.249999762,mww,5.1,-20.424,-68.564,120.59,164.6,32.8,16.4,False,,,,,16.4,5.5,-15.2,P
1370,5869885,17.065,-96.726,mex,2018-02-17 03:55:16.000000000,2018-02-16 21:55:16-06:00,America/Mexico_City,False,26,458,185,42,17,,,,USGS,1,2018-02-17 03:54:46.400000095,mb,5.0,16.403,-97.486,34.38,109.3,29.6,5.7,False,,,,,5.7,12.3,-0.4,P
1371,5839517,17.062,-96.733,mex,2018-02-16 23:40:09.000000000,2018-02-16 17:40:09-06:00,America/Mexico_City,False,15,147,294,363,134,,,,USGS,1,2018-02-16 23:39:39.279999971,mww,7.2,16.386,-97.979,22.0,152.5,29.7,3.8,False,,,,,3.8,5.9,-11.6,P
1375,7416619,14.899,-92.263,mex,2018-02-10 11:04:31.000000000,2018-02-10 05:04:31-06:00,America/Mexico_City,True,10,47,36,6,2,,,,USGS,1,2018-02-10 11:04:13.529999970,mww,5.0,15.106,-92.347,94.99,24.6,17.5,13.2,False,,,,,13.2,3.8,-6.3,P
1391,3239051,-20.255,-70.121,chl,2018-01-24 07:46:29.000000000,2018-01-24 04:46:29-03:00,America/Santiago,True,28,434,89,23,3,2018-01-24 07:47:21.000000,52.0,0,USGS,1,2018-01-24 07:46:05.319999933,mww,5.3,-20.334,-69.0,105.35,117.5,23.7,14.5,False,,,,,14.5,2.3,-13.9,P
1399,5533098,-18.474,-70.301,chl,2018-01-21 01:07:05.000000000,2018-01-20 22:07:05-03:00,America/Santiago,False,10,43,92,158,50,2018-01-21 01:07:51.000000,46.0,1,USGS,1,2018-01-21 01:06:42.710000038,mww,6.3,-18.881,-69.444,116.0,100.9,22.3,15.8,False,,,,,15.8,1.5,-14.2,P
1400,8837912,-29.944,-71.283,chl,2018-01-20 11:31:52.000000000,2018-01-20 08:31:52-03:00,America/Santiago,False,19,189,81,19,1,2018-01-20 11:32:16.000000,24.0,0,USGS,1,2018-01-20 11:31:14.689999819,mww,5.2,-28.922,-71.91,35.04,128.6,37.3,5.8,True,39.1,-28.91,-71.51,8.6,8.6,17.6,3.1,S
1402,5558910,-14.079,-75.738,per,2018-01-19 01:12:29.000000000,2018-01-18 20:12:29-05:00,America/Lima,False,8,26,184,11,2,,,,USGS,1,2018-01-19 01:11:39.030000210,mb,5.3,-13.229,-74.578,80.84,156.8,50.0,11.5,False,,,,,11.5,25.8,7.6,S
1403,9025549,-14.066,-75.739,per,2018-01-14 09:19:23.000000000,2018-01-14 04:19:23-05:00,America/Lima,True,9,20,184,40,3,,,,USGS,1,2018-01-14 09:18:45.539999962,mww,7.1,-15.768,-74.709,39.0,218.4,37.5,6.3,True,14.2,-15.649,-74.657,6.6,6.6,6.7,-16.7,P
1418,4661169,-18.463,-70.294,chl,2017-12-30 08:21:18.000000000,2017-12-30 05:21:18-03:00,America/Santiago,True,29,207,59,12,0,2017-12-30 08:22:00.000000,42.0,0,USGS,1,2017-12-30 08:20:51.529999970,mww,5.2,-19.343,-69.428,103.33,133.4,26.5,14.3,False,,,,,14.3,3.6,-13.7,P
