,peakid,det_lat,det_lon,country,triggertime,triggertime_local,pytz,nighttime,signals,actives,felt_reports_green,felt_reports_yellow,felt_reports_red,notification_time,notification_delay_from_detection,intensity_strong,cat,num_eq_matches,origintime,magtype,magnitude,eq_lat,eq_lon,depth,separation,triggerdelay,P_at_surface_delay,offshore,dist_shore,closest_land_lat,closest_land_lon,P_at_coast_delay,P_on_land_surface_delay,triggerdelay_wrt_P,triggerdelay_wrt_S,causal_phase
558,1561990,18.032,-66.646,pri,2019-12-29 01:06:12.000000000,2019-12-28 21:06:12-04:00,America/Puerto_Rico,False,8,20,105,77,13,,,,USGS,1,2019-12-29 01:06:00.129999875,ml,5.0,17.885,-66.864,6.0,28.3,11.9,1.0,True,6.2,17.94,-66.876,1.5,1.5,6.9,3.5,S
577,1656226,43.871,11.201,ita,2019-12-09 03:37:11.000000000,2019-12-09 04:37:11+01:00,Europe/Rome,True,9,29,56,13,3,2019-12-09 03:38:03.000000,52.0,0,USGS,1,2019-12-09 03:37:05.361999989,mwr,4.6,43.988,11.318,10.0,16.0,5.6,1.7,False,,,,,1.7,2.4,0.2,P
588,7591956,-13.416,-76.145,per,2019-12-05 03:23:34.000000000,2019-12-04 22:23:34-05:00,America/Lima,False,8,10,811,97,19,,,,USGS,1,2019-12-05 03:23:19.097999811,mww,5.2,-13.678,-76.069,35.03,30.1,14.9,5.8,False,,,,,5.8,7.3,2.2,S
590,3449123,-18.467,-70.296,chl,2019-12-03 08:46:46.000000000,2019-12-03 05:46:46-03:00,America/Santiago,True,19,185,123,116,47,2019-12-03 08:47:35.000000,49.0,1,USGS,1,2019-12-03 08:46:35.779999971,mww,6.0,-18.504,-70.576,38.0,29.9,10.2,6.1,True,24.9,-18.327,-70.429,7.3,7.3,2.5,-2.9,P
591,3597599,-20.252,-70.124,chl,2019-12-03 07:29:53.000000000,2019-12-03 04:29:53-03:00,America/Santiago,True,25,342,21,5,0,2019-12-03 07:30:34.000000,41.0,0,USGS,1,2019-12-03 07:29:30.470999956,mww,5.3,-20.914,-70.762,10.0,99.0,22.5,1.7,True,58.7,-20.802,-70.21,10.3,10.3,5.4,-6.2,P
602,6074902,41.324,19.489,alb,2019-11-28 10:52:53.000000000,2019-11-28 11:52:53+01:00,Europe/Tirane,False,9,31,36,20,4,,,,USGS,1,2019-11-28 10:52:41.875999928,mb,5.0,41.537,19.422,10.0,24.3,11.1,1.7,True,6.5,41.505,19.489,2.1,2.1,6.6,3.5,S
606,3218892,41.342,19.686,alb,2019-11-27 14:45:36.000000000,2019-11-27 15:45:36+01:00,Europe/Tirane,False,9,25,25,24,4,,,,USGS,1,2019-11-27 14:45:23.988999844,mww,5.3,41.55,19.479,10.0,28.9,12.0,1.7,False,,,,,1.7,6.7,3.2,S
612,7473368,41.339,19.803,alb,2019-11-26 06:08:34.000000000,2019-11-26 07:08:34+01:00,Europe/Tirane,False,8,18,18,11,4,,,,USGS,1,2019-11-26 06:08:21.819999933,mww,5.5,41.571,19.424,10.0,40.8,12.2,1.7,True,7.6,41.534,19.503,2.2,2.2,4.9,0.1,P
613,1934283,41.337,19.504,alb,2019-11-26 02:54:18.000000000,2019-11-26 03:54:18+01:00,Europe/Tirane,True,9,33,56,16,5,,,,USGS,1,2019-11-26 02:54:12.871999979,mww,6.4,41.514,19.526,22.0,19.7,5.1,3.8,False,,,,,3.8,0.1,-3.3,P
617,3237717,-32.832,-70.62,chl,2019-11-22 22:27:52.000000000,2019-11-22 19:27:52-03:00,America/Santiago,False,9,25,1514,364,44,2019-11-22 22:28:24.000000,32.0,0,USGS,2,2019-11-22 22:27:31.390000105,mww,5.0,-32.7,-70.1,103.75,50.9,20.6,14.3,False,,,,,14.3,4.7,-7.1,P
630,6995157,16.19,-95.196,mex,2019-11-09 08:33:56.000000000,2019-11-09 02:33:56-06:00,America/Mexico_City,True,16,118,0,0,0,,,,USGS,1,2019-11-09 08:32:52.322999954,mww,5.5,14.509,-90.274,200.0,560.2,63.7,26.1,False,,,,,26.1,-11.2,-70.2,P
635,6936130,-32.777,-70.74,chl,2019-11-04 21:53:49.000000000,2019-11-04 18:53:49-03:00,America/Santiago,False,8,25,1009,1827,401,2019-11-04 21:54:10.000000,21.0,1,USGS,1,2019-11-04 21:53:25.319999933,mww,6.1,-31.836,-71.375,53.0,120.3,23.7,8.0,False,,,,,8.0,4.8,-9.2,P
636,3687798,-20.253,-70.129,chl,2019-11-04 13:04:07.000000000,2019-11-04 10:04:07-03:00,America/Santiago,False,10,40,49,10,0,2019-11-04 13:04:38.000000,31.0,0,USGS,1,2019-11-04 13:03:39.631000042,mww,5.1,-21.409,-70.488,31.02,133.3,27.4,5.1,True,41.9,-21.342,-70.09,8.6,8.6,6.8,-8.4,P
637,5918557,-30.602,-71.199,chl,2019-11-03 08:06:30.000000000,2019-11-03 05:06:30-03:00,America/Santiago,True,9,35,0,0,0,,,0,USGS,1,2019-11-03 08:06:10.444999933,mww,5.2,-30.643,-72.116,10.0,88.1,19.6,1.7,True,39.7,-30.658,-71.703,7.1,7.1,4.3,-6.0,P
